index,id,toolName,category,tool_en,tool_ja,extendscript,applescript,jxa,minVersion
69,toolName_69,Adobe Slice Tool,Draw 09,Slice Tool,スライス,app.selectTool('Adobe Slice Tool');,"Select Tool tool name ""Adobe Slice Tool""",app.selectTool({toolName: 'Adobe Slice Tool'});,24
70,toolName_70,Adobe Slice Select Tool,Draw 09,Slice Selection Tool,スライス選択,app.selectTool('Adobe Slice Select Tool');,"Select Tool tool name ""Adobe Slice Select Tool""",app.selectTool({toolName: 'Adobe Slice Select Tool'});,24
71,toolName_71,Adobe Symbol Sprayer Tool,Draw 07,Symbol Spayer Tool,シンボルスプレー,app.selectTool('Adobe Symbol Sprayer Tool');,"Select Tool tool name ""Adobe Symbol Sprayer Tool""",app.selectTool({toolName: 'Adobe Symbol Sprayer Tool'});,24
72,toolName_72,Adobe Symbol Shifter Tool,Draw 07,Symbol Shifter Tool,シンボルシフト,app.selectTool('Adobe Symbol Shifter Tool');,"Select Tool tool name ""Adobe Symbol Shifter Tool""",app.selectTool({toolName: 'Adobe Symbol Shifter Tool'});,24
73,toolName_73,Adobe Symbol Scruncher Tool,Draw 07,Symbol Scruncher Tool,シンボルスクランチ,app.selectTool('Adobe Symbol Scruncher Tool');,"Select Tool tool name ""Adobe Symbol Scruncher Tool""",app.selectTool({toolName: 'Adobe Symbol Scruncher Tool'});,24
74,toolName_74,Adobe Symbol Sizer Tool,Draw 07,Symbol Sizer Tool,シンボルリサイズ,app.selectTool('Adobe Symbol Sizer Tool');,"Select Tool tool name ""Adobe Symbol Sizer Tool""",app.selectTool({toolName: 'Adobe Symbol Sizer Tool'});,24
75,toolName_75,Adobe Symbol Spinner Tool,Draw 07,Symbol Spinner Tool,シンボルスピン,app.selectTool('Adobe Symbol Spinner Tool');,"Select Tool tool name ""Adobe Symbol Spinner Tool""",app.selectTool({toolName: 'Adobe Symbol Spinner Tool'});,24
76,toolName_76,Adobe Symbol Stainer Tool,Draw 07,Symbol Stainer Tool,シンボルステイン,app.selectTool('Adobe Symbol Stainer Tool');,"Select Tool tool name ""Adobe Symbol Stainer Tool""",app.selectTool({toolName: 'Adobe Symbol Stainer Tool'});,24
77,toolName_77,Adobe Symbol Screener Tool,Draw 07,Symbol Screener Tool,シンボルスクリーン,app.selectTool('Adobe Symbol Screener Tool');,"Select Tool tool name ""Adobe Symbol Screener Tool""",app.selectTool({toolName: 'Adobe Symbol Screener Tool'});,24
78,toolName_78,Adobe Symbol Styler Tool,Draw 07,Symbol Styler Tool,シンボルスタイル,app.selectTool('Adobe Symbol Styler Tool');,"Select Tool tool name ""Adobe Symbol Styler Tool""",app.selectTool({toolName: 'Adobe Symbol Styler Tool'});,24
79,toolName_79,Adobe Planar Paintbucket Tool,Paint 03,Live Paint Bucket,ライブペイント,app.selectTool('Adobe Planar Paintbucket Tool');,"Select Tool tool name ""Adobe Planar Paintbucket Tool""",app.selectTool({toolName: 'Adobe Planar Paintbucket Tool'});,24
80,toolName_80,Adobe Planar Face Select Tool,Paint 03,Live Paint Selection Tool,ライブペイント選択,app.selectTool('Adobe Planar Face Select Tool');,"Select Tool tool name ""Adobe Planar Face Select Tool""",app.selectTool({toolName: 'Adobe Planar Face Select Tool'});,24
81,toolName_81,Adobe Eraser Tool,Modify 07,Eraser Tool,消しゴム,app.selectTool('Adobe Eraser Tool');,"Select Tool tool name ""Adobe Eraser Tool""",app.selectTool({toolName: 'Adobe Eraser Tool'});,24
82,toolName_82,Adobe Crop Tool,Select 05,Artboard Tool,アートボード,app.selectTool('Adobe Crop Tool');,"Select Tool tool name ""Adobe Crop Tool""",app.selectTool({toolName: 'Adobe Crop Tool'});,24
83,toolName_83,Adobe Blob Brush Tool,Draw 05,Blob Tool,塗りブラシ,app.selectTool('Adobe Blob Brush Tool');,"Select Tool tool name ""Adobe Blob Brush Tool""",app.selectTool({toolName: 'Adobe Blob Brush Tool'});,24
84,toolName_84,Adobe Shape Builder Tool,Paint 03,Shape Builder Tool,シェイプ形成,app.selectTool('Adobe Shape Builder Tool');,"Select Tool tool name ""Adobe Shape Builder Tool""",app.selectTool({toolName: 'Adobe Shape Builder Tool'});,24
85,toolName_85,Perspective Grid Tool,Draw 10,Perspective Grid Tool,遠近グリッド,app.selectTool('Perspective Grid Tool');,"Select Tool tool name ""Perspective Grid Tool""",app.selectTool({toolName: 'Perspective Grid Tool'});,24
86,toolName_86,Perspective Selection Tool,Draw 10,Perspective Selection Tool,遠近図形選択,app.selectTool('Perspective Selection Tool');,"Select Tool tool name ""Perspective Selection Tool""",app.selectTool({toolName: 'Perspective Selection Tool'});,24
87,toolName_87,Adobe Pattern Tile Tool,Unknown,,,app.selectTool('Adobe Pattern Tile Tool');,"Select Tool tool name ""Adobe Pattern Tile Tool""",app.selectTool({toolName: 'Adobe Pattern Tile Tool'});,24
88,toolName_88,Adobe Place Gun Tool,Unknown,,,app.selectTool('Adobe Place Gun Tool');,"Select Tool tool name ""Adobe Place Gun Tool""",app.selectTool({toolName: 'Adobe Place Gun Tool'});,24
89,toolName_89,Adobe Curvature Tool,Draw 02,Curvature Tool,曲線ツール,app.selectTool('Adobe Curvature Tool');,"Select Tool tool name ""Adobe Curvature Tool""",app.selectTool({toolName: 'Adobe Curvature Tool'});,24
