index,id,menuCommandString,menu_en,menu_ja,extendscript,applescript,jxa,minVersion,maxVersion
414,menuCommandString_294,Live Deform Arc,Effect > Warp > Arc…,効果 > ワープ > 円弧...,app.executeMenuCommand('Live Deform Arc');,"execute menu command menu command string ""Live Deform Arc""",app.executeMenuCommand({menuCommandString: 'Live Deform Arc'});,16,99
415,menuCommandString_295,Live Deform Arc Lower,Effect > Warp > Arc Lower…,効果 > ワープ > 下弦...,app.executeMenuCommand('Live Deform Arc Lower');,"execute menu command menu command string ""Live Deform Arc Lower""",app.executeMenuCommand({menuCommandString: 'Live Deform Arc Lower'});,16,99
416,menuCommandString_296,Live Deform Arc Upper,Effect > Warp > Arc Upper…,効果 > ワープ > 上弦...,app.executeMenuCommand('Live Deform Arc Upper');,"execute menu command menu command string ""Live Deform Arc Upper""",app.executeMenuCommand({menuCommandString: 'Live Deform Arc Upper'});,16,99
417,menuCommandString_297,Live Deform Arch,Effect > Warp > Arch…,効果 > ワープ > アーチ...,app.executeMenuCommand('Live Deform Arch');,"execute menu command menu command string ""Live Deform Arch""",app.executeMenuCommand({menuCommandString: 'Live Deform Arch'});,16,99
418,menuCommandString_298,Live Deform Bulge,Effect > Warp > Bulge…,効果 > ワープ > でこぼこ...,app.executeMenuCommand('Live Deform Bulge');,"execute menu command menu command string ""Live Deform Bulge""",app.executeMenuCommand({menuCommandString: 'Live Deform Bulge'});,16,99
419,menuCommandString_299,Live Deform Shell Lower,Effect > Warp > Shell Lower…,効果 > ワープ > 貝殻 (下向き)...,app.executeMenuCommand('Live Deform Shell Lower');,"execute menu command menu command string ""Live Deform Shell Lower""",app.executeMenuCommand({menuCommandString: 'Live Deform Shell Lower'});,16,99
420,menuCommandString_300,Live Deform Shell Upper,Effect > Warp > Shell Upper…,効果 > ワープ > 貝殻 (上向き)...,app.executeMenuCommand('Live Deform Shell Upper');,"execute menu command menu command string ""Live Deform Shell Upper""",app.executeMenuCommand({menuCommandString: 'Live Deform Shell Upper'});,16,99
421,menuCommandString_301,Live Deform Flag,Effect > Warp > Flag…,効果 > ワープ > 旗...,app.executeMenuCommand('Live Deform Flag');,"execute menu command menu command string ""Live Deform Flag""",app.executeMenuCommand({menuCommandString: 'Live Deform Flag'});,16,99
422,menuCommandString_302,Live Deform Wave,Effect > Warp > Wave…,効果 > ワープ > 波形...,app.executeMenuCommand('Live Deform Wave');,"execute menu command menu command string ""Live Deform Wave""",app.executeMenuCommand({menuCommandString: 'Live Deform Wave'});,16,99
423,menuCommandString_303,Live Deform Fish,Effect > Warp > Fish…,効果 > ワープ > 魚形...,app.executeMenuCommand('Live Deform Fish');,"execute menu command menu command string ""Live Deform Fish""",app.executeMenuCommand({menuCommandString: 'Live Deform Fish'});,16,99
424,menuCommandString_304,Live Deform Rise,Effect > Warp > Rise…,効果 > ワープ > 上昇...,app.executeMenuCommand('Live Deform Rise');,"execute menu command menu command string ""Live Deform Rise""",app.executeMenuCommand({menuCommandString: 'Live Deform Rise'});,16,99
425,menuCommandString_305,Live Deform Fisheye,Effect > Warp > Fisheye…,効果 > ワープ > 魚眼レンズ...,app.executeMenuCommand('Live Deform Fisheye');,"execute menu command menu command string ""Live Deform Fisheye""",app.executeMenuCommand({menuCommandString: 'Live Deform Fisheye'});,16,99
426,menuCommandString_306,Live Deform Inflate,Effect > Warp > Inflate…,効果 > ワープ > 膨張...,app.executeMenuCommand('Live Deform Inflate');,"execute menu command menu command string ""Live Deform Inflate""",app.executeMenuCommand({menuCommandString: 'Live Deform Inflate'});,16,99
427,menuCommandString_307,Live Deform Squeeze,Effect > Warp > Squeeze…,効果 > ワープ > 絞り込み...,app.executeMenuCommand('Live Deform Squeeze');,"execute menu command menu command string ""Live Deform Squeeze""",app.executeMenuCommand({menuCommandString: 'Live Deform Squeeze'});,16,99
